"ff_id","name_en","name_es","equipment","match_confidence","match_score","dataset_id","dataset_name","media_id","has_instructions_es","can_enrich_description"
"ff_cardio_air_bike","Air Bike","Bicicleta de aire","Cardio machine","high","1","0003","air bike","1ZFqTDN","True","True"
"ff_glutes_cable_kickback","Cable Kickback","Patada de glúteo en polea","Cable","high","1","0860","cable kickback","HEJ6DIX","True","True"
"ff_biceps_dumbbell_reverse_spider_curl","Dumbbell Reverse Spider Curl","Curl araña inverso con mancuernas","Dumbbell","high","1","1675","dumbbell reverse spider curl","6sMAmNv","True","True"
"ff_calves_pogo_jump","Pogo Jump","Saltos pogo","Bodyweight","high","0.95","1472","forward jump","uZKq7lo","True","True"
"ff_back_pendlay_row","Pendlay Row","Remo Pendlay","Barbell","high","0.95","3017","barbell pendlay row","r0z6xzQ","True","True"
"ff_shoulders_pike_push_up","Pike Push Up","Flexión pike","Bodyweight","high","0.95","3662","pike-to-cobra push-up","XPUDTt7","True","True"
"ff_abs_plank","Plank","Plancha abdominal","Bodyweight","high","0.95","2135","weighted front plank","VBAWRPG","True","True"
"ff_legs_pistol_squat","Pistol Squat","Sentadilla pistol","Bodyweight","high","0.95","1759","single leg squat (pistol) male","nqs5HGV","True","True"
"ff_cardio_outdoor_walking","Outdoor Walking","Caminar al aire libre","Outdoor","high","0.95","3656","short stride run","CcWEoWV","True","True"
"ff_cardio_outdoor_running","Outdoor Running","Correr al aire libre","Outdoor","high","0.95","0685","run","oLrKqDH","True","True"
"ff_cardio_outdoor_cycling","Outdoor Cycling","Ciclismo al aire libre","Outdoor","high","0.95","3637","wheel run","km2Ljzj","True","True"
"ff_triceps_parallel_bar_dip","Parallel Bar Dip","Fondos en paralelas","Bodyweight","high","0.95","1767","weighted triceps dip on high parallel bars","K1vlode","True","True"
"ff_triceps_overhead_dumbbell_extension","Overhead Dumbbell Extension","Extensión sobre cabeza con mancuerna","Dumbbell","high","0.95","1732","dumbbell forward lunge triceps extension","XalXcvM","True","True"
"ff_triceps_overhead_cable_extension","Overhead Cable Extension","Extensión sobre cabeza en polea","Cable","high","0.95","1722","cable high pulley overhead tricep extension","1xHyxys","True","True"
"ff_shoulders_reverse_pec_deck_machine","Reverse Pec Deck Machine","Pec Deck invertido","Machine","high","0.95","0602","lever seated reverse fly","myfUsKf","True","True"
"ff_legs_reverse_lunge","Reverse Lunge","Zancada inversa","Dumbbell","high","0.95","0381","dumbbell rear lunge","SSsBDwB","True","True"
"ff_biceps_reverse_cable_curl","Reverse Cable Curl","Curl inverso en polea","Cable","high","0.95","0206","cable reverse curl","eOG0r6v","True","True"
"ff_chest_ring_push_up","Ring Push Up","Flexión en anillas","Bodyweight","high","0.95","0806","suspended push-up","IaGQCrC","True","True"
"ff_triceps_ring_dip","Ring Dip","Fondos en anillas","Bodyweight","high","0.95","0677","ring dips","ezTvXcr","True","True"
"ff_biceps_ring_curl","Ring Curl","Curl en anillas","Bodyweight","high","0.95","1770","biceps leg concentration curl","sJFIDIp","True","True"
"ff_cardio_recumbent_bike","Recumbent Bike","Bicicleta reclinada","Cardio machine","high","0.95","0798","stationary bike walk","a8VDgLw","True","True"
"ff_biceps_close_grip_barbell_curl","Close Grip Barbell Bicep Curl","Curl de bíceps con barra agarre cerrado","Barbell","high","0.95","0106","barbell standing close grip curl","4dUn2iv","True","False"
"ff_biceps_close_grip_preacher_curl","Close Grip Preacher Curl","Curl predicador agarre cerrado","Barbell","high","0.95","1627","ez barbell close grip preacher curl","hacCyUv","True","False"
"ff_biceps_preacher_curl_machine","Preacher Curl Machine","Curl predicador en máquina","Machine","high","0.95","0592","lever preacher curl","b6hQYMb","True","False"
"ff_shoulders_rear_delt_dumbbell_fly","Rear Delt Dumbbell Fly","Apertura posterior con mancuernas","Dumbbell","high","0.95","0378","dumbbell rear fly","8DiFDVA","True","True"
"ff_chest_push_up","Push Up","Flexión de pecho","Bodyweight","high","0.95","3216","chest tap push-up (male)","7E06s6d","True","True"
"ff_back_pull_up","Pull Up","Dominada prona","Bodyweight","high","0.95","0652","pull-up","lBDjFxJ","True","True"
"ff_back_neutral_grip_pull_up","Neutral Grip Pull Up","Dominada agarre neutro","Bodyweight","high","0.95","0651","pull up (neutral grip)","0V2YQjW","True","True"
"ff_cf_kettlebell_snatch","Kettlebell Snatch","Snatch con kettlebell","Kettlebell","high","0.95","0542","kettlebell one arm snatch","aXcUyKb","True","False"
"ff_cf_kettlebell_swing","Kettlebell Swing","Swing con kettlebell","Kettlebell","high","0.95","0549","kettlebell swing","UHJlbu3","True","False"
"ff_cf_overhead_squat","Barbell Overhead Squat","Sentadilla overhead con barra","Barbell","high","0.95","0069","barbell overhead squat","gfk9kD4","True","False"
"ff_cf_kipping_pull_up","Kipping Pull Up","Dominada kipping","Bodyweight","high","0.95","0652","pull-up","lBDjFxJ","True","False"
"ff_cf_farmers_walk","Farmer's Walk","Caminata del granjero","Dumbbell","high","0.95","2133","farmers walk","qPEzJjA","True","False"
"ff_cf_kettlebell_clean_and_press","Kettlebell Clean and Press","Cargada y press con kettlebell","Kettlebell","high","0.95","0552","kettlebell two arm clean","7Ba7bQ2","True","False"
"ff_cf_snatch_deadlift","Barbell Snatch Deadlift","Peso muerto snatch","Barbell","high","0.95","0776","snatch pull","dG5Smob","True","False"
"ff_cf_clean_and_jerk","Clean and Jerk","Cargada y envión","Barbell","high","0.95","0028","barbell clean and press","SGY8Zui","True","False"
"ff_cf_hang_power_clean","Hang Power Clean","Cargada de potencia desde hang","Barbell","high","0.95","0648","power clean","SiWCcTN","True","False"
"ff_cf_power_clean","Power Clean","Cargada de potencia (power clean)","Barbell","high","0.95","0648","power clean","SiWCcTN","True","False"
"ff_back_dumbbell_shrug","Dumbbell Shrug","Encogimiento con mancuernas","Dumbbell","high","0.95","0406","dumbbell shrug","NJzBsGJ","True","False"
"ff_back_barbell_shrug","Barbell Shrug","Encogimiento con barra","Barbell","high","0.95","0095","barbell shrug","dG7tG5y","True","False"
"ff_cf_power_snatch","Power Snatch","Arrancada de potencia (power snatch)","Barbell","high","0.95","0776","snatch pull","dG5Smob","True","False"
"ff_shoulders_machine_lateral_raise","Machine Lateral Raise","Elevación lateral en máquina","Machine","high","0.95","0584","lever lateral raise","dRTfGZT","True","True"
"ff_abs_lying_leg_raise","Lying Leg Raise","Elevación de piernas acostado","Bodyweight","high","0.95","0620","lying leg raise flat bench","WhuFnR7","True","True"
"ff_legs_lying_leg_curl_machine","Lying Leg Curl Machine","Curl femoral acostado en máquina","Machine","high","0.95","0586","lever lying leg curl","17lJ1kr","True","True"
"ff_back_meadows_row","Meadows Row","Remo Meadows","Barbell","high","0.95","0574","lever bent over row","X3cqyXz","True","True"
